dataset,model,comparison,n,mean_dES,ci_lo,ci_hi,wilcoxon_p
CCE-line,0.5B,C2-C1,2665,0.0251,0.0176,0.0325,1.5224101096478096e-07
RepoEval-fn,0.5B,C2-C1,455,0.0396,0.0207,0.0591,0.0023984415037829965
CCLE-fn,0.5B,C2-C1,5000,0.036,0.0301,0.0419,3.1435811160028e-14
CCLE-chunk,0.5B,C2-C1,5000,0.0383,0.0321,0.0447,4.936602410339669e-18
CCE-line,1.5B,C2-C1,2665,0.0336,0.0263,0.0411,2.8453212615228414e-14
RepoEval-fn,1.5B,C2-C1,455,0.0824,0.0607,0.1045,6.941012414871411e-08
CCLE-fn,1.5B,C2-C1,5000,0.0417,0.036,0.0474,1.5188465784451438e-28
CCLE-chunk,1.5B,C2-C1,5000,0.0292,0.0232,0.0351,6.811804237114746e-13
CCE-line,7B,C2-C1,2665,0.0393,0.032,0.0467,1.0821174947968053e-17
RepoEval-fn,7B,C2-C1,455,0.0547,0.0371,0.0728,0.00010052348853199699
CCLE-fn,7B,C2-C1,5000,0.0396,0.0342,0.0449,1.3851293555107892e-25
CCLE-chunk,7B,C2-C1,5000,0.0333,0.0274,0.0393,9.285753873809288e-17
CCE-line,0.5B,C4-C3@.05,2665,0.00259,0.00121,0.00411,
CCE-line,1.5B,C4-C3@.05,2665,0.00099,0.0,0.00213,
CCE-line,7B,C4-C3@.05,2665,0.00081,5e-05,0.00174,
CCLE-fn,0.5B,C4-C3@.05,5000,0.00231,0.00071,0.00396,
CCLE-fn,1.5B,C4-C3@.05,5000,0.00281,0.00156,0.00412,
CCLE-fn,7B,C4-C3@.05,5000,0.00209,0.00108,0.00319,
CCLE-chunk,0.5B,C4-C3@.05,5000,0.0015,0.00047,0.00263,
CCLE-chunk,1.5B,C4-C3@.05,5000,0.00093,3e-05,0.00191,
CCLE-chunk,7B,C4-C3@.05,5000,0.00098,0.0002,0.00182,
