dataset,model,n,c3_hall,c4_hall,b,c,p
CCE-line,0.5B,2665,114,41,0,73,2.117582368135751e-22
CCE-line,1.5B,2665,56,19,0,37,1.4551915228366852e-11
CCE-line,7B,2665,45,24,0,21,9.5367431640625e-07
RepoEval-fn,0.5B,455,38,14,0,24,1.1920928955078125e-07
RepoEval-fn,1.5B,455,24,5,1,20,2.09808349609375e-05
RepoEval-fn,7B,455,8,1,0,7,0.015625
CCLE-fn,0.5B,5000,330,130,7,207,2.9027638149394778e-52
CCLE-fn,1.5B,5000,171,72,2,101,1.05648196731724e-27
CCLE-fn,7B,5000,209,86,4,127,8.883381255844896e-33
CCLE-chunk,0.5B,5000,104,40,0,64,1.0842021724855044e-19
CCLE-chunk,1.5B,5000,82,32,0,50,1.7763568394002505e-15
CCLE-chunk,7B,5000,103,47,0,56,2.7755575615628914e-17
