dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
crosscodeeval_py,line,C1_no_retrieve,,0.0,0.3152,0.6522,0.6256,0.006,0.5411,501.9669
crosscodeeval_py,line,C2_always_retrieve,,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,843.5565
crosscodeeval_py,line,C3_card,0.05,0.0,0.3152,0.6522,0.6256,0.006,0.5411,501.9669
crosscodeeval_py,line,C4_cascade,0.05,0.6754,0.3216,0.6558,0.6294,0.0004,0.5355,508.5966
crosscodeeval_py,line,C3_card,0.1,2.1013,0.3302,0.6623,0.6388,0.006,0.5302,514.6044
crosscodeeval_py,line,C4_cascade,0.1,2.7767,0.3366,0.6659,0.6426,0.0004,0.5246,521.2341
crosscodeeval_py,line,C3_card,0.15,7.3546,0.3734,0.6878,0.6676,0.006,0.4934,552.0625
crosscodeeval_py,line,C4_cascade,0.15,8.03,0.3797,0.6915,0.6714,0.0004,0.4878,558.6922
crosscodeeval_py,line,C3_card,0.2,17.7486,0.4585,0.733,0.7167,0.0049,0.424,620.7363
crosscodeeval_py,line,C4_cascade,0.2,18.3114,0.4638,0.736,0.7199,0.0004,0.4195,626.41
crosscodeeval_py,line,C3_card,0.25,29.9812,0.5546,0.7901,0.777,0.0041,0.3433,723.1214
crosscodeeval_py,line,C4_cascade,0.25,30.3565,0.558,0.7919,0.779,0.0015,0.3407,726.7561
crosscodeeval_py,line,C3_card,0.3,59.6248,0.77,0.9006,0.8965,0.003,0.164,979.5428
crosscodeeval_py,line,C4_cascade,0.3,59.8124,0.7715,0.9011,0.897,0.0019,0.1629,981.7064
crosscodeeval_py,line,C3_card,0.35,80.863,0.8856,0.9482,0.9469,0.0019,0.0758,1170.5167
crosscodeeval_py,line,C4_cascade,0.35,80.863,0.8856,0.9482,0.9469,0.0019,0.0758,1170.5167
crosscodeeval_py,line,C3_card,0.4,91.3696,0.9122,0.9574,0.9555,0.0019,0.06,1265.7138
crosscodeeval_py,line,C4_cascade,0.4,91.3696,0.9122,0.9574,0.9555,0.0019,0.06,1265.7138
crosscodeeval_py,line,C3_card,0.45,99.5497,0.9227,0.9605,0.9582,0.0019,0.0552,1342.3332
crosscodeeval_py,line,C4_cascade,0.45,99.5497,0.9227,0.9605,0.9582,0.0019,0.0552,1342.3332
crosscodeeval_py,line,C3_card,0.5,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.5,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C3_card,0.55,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.55,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C3_card,0.6,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.6,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C3_card,0.65,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.65,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C3_card,0.7,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.7,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C3_card,0.75,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.75,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C3_card,0.8,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.8,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C3_card,0.85,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.85,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C3_card,0.9,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.9,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C3_card,0.95,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
crosscodeeval_py,line,C4_cascade,0.95,100.0,0.9227,0.9605,0.9582,0.0019,0.0552,1345.5234
