dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
crosscodelongeval_chunk,lines,C1_no_retrieve,,0.0,0.419,0.711,0.6906,0.0206,0.6622,421.9949
crosscodelongeval_chunk,lines,C2_always_retrieve,,100.0,0.8462,0.9242,0.9189,0.024,0.5928,725.1415
crosscodelongeval_chunk,lines,C3_card,0.05,0.02,0.419,0.711,0.6906,0.0206,0.6622,422.1427
crosscodelongeval_chunk,lines,C4_cascade,0.05,2.34,0.4322,0.7176,0.6983,0.0052,0.6576,438.9297
crosscodelongeval_chunk,lines,C3_card,0.1,2.86,0.4352,0.7279,0.7078,0.0216,0.6776,442.5773
crosscodelongeval_chunk,lines,C4_cascade,0.1,5.18,0.4484,0.7344,0.7155,0.0062,0.673,459.3643
crosscodelongeval_chunk,lines,C3_card,0.15,5.12,0.4496,0.7368,0.7174,0.0216,0.679,458.9661
crosscodelongeval_chunk,lines,C4_cascade,0.15,7.44,0.4628,0.7434,0.7251,0.0062,0.6744,475.7531
crosscodelongeval_chunk,lines,C3_card,0.2,8.74,0.4694,0.7472,0.729,0.0224,0.6788,485.1275
crosscodelongeval_chunk,lines,C4_cascade,0.2,11.04,0.4826,0.7538,0.7367,0.007,0.6742,501.7756
crosscodelongeval_chunk,lines,C3_card,0.25,19.9,0.5338,0.7883,0.7745,0.0222,0.6518,566.2218
crosscodelongeval_chunk,lines,C4_cascade,0.25,21.88,0.5442,0.7933,0.7802,0.0096,0.6478,580.5362
crosscodelongeval_chunk,lines,C3_card,0.3,49.08,0.6974,0.8665,0.8589,0.0202,0.58,777.8914
crosscodelongeval_chunk,lines,C4_cascade,0.3,50.0,0.7018,0.868,0.8607,0.0146,0.5786,784.4832
crosscodelongeval_chunk,lines,C3_card,0.35,73.36,0.7974,0.9083,0.9021,0.0218,0.5688,954.0014
crosscodelongeval_chunk,lines,C4_cascade,0.35,73.76,0.799,0.9087,0.9024,0.0196,0.5682,956.8734
crosscodelongeval_chunk,lines,C3_card,0.4,88.6,0.832,0.9195,0.9138,0.0232,0.5804,1064.5754
crosscodelongeval_chunk,lines,C4_cascade,0.4,88.74,0.8324,0.9197,0.914,0.0224,0.58,1065.5435
crosscodelongeval_chunk,lines,C3_card,0.45,99.22,0.8452,0.9241,0.9188,0.024,0.592,1141.5016
crosscodelongeval_chunk,lines,C4_cascade,0.45,99.22,0.8452,0.9241,0.9188,0.024,0.592,1141.5016
crosscodelongeval_chunk,lines,C3_card,0.5,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.5,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C3_card,0.55,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.55,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C3_card,0.6,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.6,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C3_card,0.65,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.65,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C3_card,0.7,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.7,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C3_card,0.75,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.75,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C3_card,0.8,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.8,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C3_card,0.85,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.85,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C3_card,0.9,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.9,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C3_card,0.95,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,lines,C4_cascade,0.95,100.0,0.8462,0.9242,0.9189,0.024,0.5928,1147.1365
crosscodelongeval_chunk,full,C1_no_retrieve,,0.0,0.2278,0.4675,0.5752,0.0206,0.6622,421.9949
crosscodelongeval_chunk,full,C2_always_retrieve,,100.0,0.3624,0.5115,0.6496,0.024,0.5928,725.1415
crosscodelongeval_chunk,full,C3_card,0.05,0.02,0.2278,0.4675,0.5752,0.0206,0.6622,422.1427
crosscodelongeval_chunk,full,C4_cascade,0.05,2.34,0.2332,0.4714,0.58,0.0052,0.6576,438.9297
crosscodelongeval_chunk,full,C3_card,0.1,2.86,0.2306,0.4701,0.5828,0.0216,0.6776,442.5773
crosscodelongeval_chunk,full,C4_cascade,0.1,5.18,0.236,0.474,0.5875,0.0062,0.673,459.3643
crosscodelongeval_chunk,full,C3_card,0.15,5.12,0.2332,0.469,0.5849,0.0216,0.679,458.9661
crosscodelongeval_chunk,full,C4_cascade,0.15,7.44,0.2386,0.473,0.5896,0.0062,0.6744,475.7531
crosscodelongeval_chunk,full,C3_card,0.2,8.74,0.2386,0.4673,0.5857,0.0224,0.6788,485.1275
crosscodelongeval_chunk,full,C4_cascade,0.2,11.04,0.244,0.4713,0.5905,0.007,0.6742,501.7756
crosscodelongeval_chunk,full,C3_card,0.25,19.9,0.266,0.4867,0.6109,0.0222,0.6518,566.2218
crosscodelongeval_chunk,full,C4_cascade,0.25,21.88,0.2706,0.4901,0.6148,0.0096,0.6478,580.5362
crosscodelongeval_chunk,full,C3_card,0.3,49.08,0.3456,0.529,0.6557,0.0202,0.58,777.8914
crosscodelongeval_chunk,full,C4_cascade,0.3,50.0,0.3474,0.5301,0.657,0.0146,0.5786,784.4832
crosscodelongeval_chunk,full,C3_card,0.35,73.36,0.3772,0.5311,0.6609,0.0218,0.5688,954.0014
crosscodelongeval_chunk,full,C4_cascade,0.35,73.76,0.3782,0.5317,0.6613,0.0196,0.5682,956.8734
crosscodelongeval_chunk,full,C3_card,0.4,88.6,0.3732,0.5213,0.6553,0.0232,0.5804,1064.5754
crosscodelongeval_chunk,full,C4_cascade,0.4,88.74,0.3736,0.5216,0.6555,0.0224,0.58,1065.5435
crosscodelongeval_chunk,full,C3_card,0.45,99.22,0.363,0.5123,0.6502,0.024,0.592,1141.5016
crosscodelongeval_chunk,full,C4_cascade,0.45,99.22,0.363,0.5123,0.6502,0.024,0.592,1141.5016
crosscodelongeval_chunk,full,C3_card,0.5,100.0,0.3624,0.5115,0.6496,0.024,0.5928,1147.1365
