dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
crosscodelongeval_function,body,C1_no_retrieve,,0.0,0.0854,0.4892,0.6162,0.0418,0.8838,904.1449
crosscodelongeval_function,body,C2_always_retrieve,,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,1594.276
crosscodelongeval_function,body,C3_card,0.05,0.0,0.0854,0.4892,0.6162,0.0418,0.8838,904.1449
crosscodelongeval_function,body,C4_cascade,0.05,4.86,0.1078,0.5044,0.629,0.0114,0.8792,981.8887
crosscodelongeval_function,body,C3_card,0.1,0.12,0.086,0.4901,0.6171,0.0422,0.8848,906.1131
crosscodelongeval_function,body,C4_cascade,0.1,4.98,0.1084,0.5052,0.6299,0.0118,0.8802,983.857
crosscodelongeval_function,body,C3_card,0.15,0.2,0.0866,0.4905,0.6174,0.0422,0.8846,907.3596
crosscodelongeval_function,body,C4_cascade,0.15,5.06,0.109,0.5057,0.6302,0.0118,0.88,985.1035
crosscodelongeval_function,body,C3_card,0.2,0.62,0.0902,0.4938,0.6199,0.0422,0.8848,913.9793
crosscodelongeval_function,body,C4_cascade,0.2,5.48,0.1126,0.5089,0.6327,0.0118,0.8802,991.7231
crosscodelongeval_function,body,C3_card,0.25,5.82,0.1196,0.5198,0.6432,0.0432,0.878,997.0574
crosscodelongeval_function,body,C4_cascade,0.25,10.32,0.1406,0.5336,0.6547,0.0148,0.8738,1068.9744
crosscodelongeval_function,body,C3_card,0.3,48.06,0.3548,0.7012,0.7906,0.0514,0.8268,1670.6884
crosscodelongeval_function,body,C4_cascade,0.3,50.8,0.3662,0.7075,0.7956,0.036,0.8248,1714.5214
crosscodelongeval_function,body,C3_card,0.35,68.9,0.4696,0.7761,0.8475,0.0514,0.808,2002.5344
crosscodelongeval_function,body,C4_cascade,0.35,70.42,0.4754,0.7787,0.8493,0.0436,0.8072,2026.9167
crosscodelongeval_function,body,C3_card,0.4,83.06,0.5346,0.8098,0.8705,0.0534,0.8092,2228.4574
crosscodelongeval_function,body,C4_cascade,0.4,83.88,0.5382,0.8112,0.8714,0.049,0.8096,2241.6466
crosscodelongeval_function,body,C3_card,0.45,98.66,0.595,0.8366,0.8885,0.0536,0.814,2477.1685
crosscodelongeval_function,body,C4_cascade,0.45,98.78,0.5954,0.8368,0.8886,0.053,0.8142,2479.0651
crosscodelongeval_function,body,C3_card,0.5,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.5,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C3_card,0.55,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.55,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C3_card,0.6,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.6,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C3_card,0.65,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.65,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C3_card,0.7,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.7,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C3_card,0.75,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.75,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C3_card,0.8,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.8,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C3_card,0.85,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.85,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C3_card,0.9,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.9,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C3_card,0.95,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,body,C4_cascade,0.95,100.0,0.6002,0.8393,0.8904,0.0536,0.8124,2498.4209
crosscodelongeval_function,full,C1_no_retrieve,,0.0,0.0418,0.3556,0.521,0.0418,0.8838,904.1449
crosscodelongeval_function,full,C2_always_retrieve,,100.0,0.1498,0.4263,0.6119,0.0536,0.8124,1594.276
crosscodelongeval_function,full,C3_card,0.05,0.0,0.0418,0.3556,0.521,0.0418,0.8838,904.1449
