dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
repoeval_function,body,C1_no_retrieve,,0.0,0.0835,0.4435,0.5585,0.0242,0.7055,3606.5756
repoeval_function,body,C2_always_retrieve,,100.0,0.6264,0.8385,0.865,0.0154,0.2264,4916.1407
repoeval_function,body,C3_card,0.05,0.0,0.0835,0.4435,0.5585,0.0242,0.7055,3606.5756
repoeval_function,body,C4_cascade,0.05,3.7363,0.1055,0.4605,0.571,0.0088,0.6813,3819.475
repoeval_function,body,C3_card,0.1,1.978,0.0967,0.461,0.5772,0.0242,0.7077,3678.7267
repoeval_function,body,C4_cascade,0.1,5.7143,0.1187,0.478,0.5897,0.0088,0.6835,3891.6261
repoeval_function,body,C3_card,0.15,2.8571,0.1055,0.4698,0.586,0.0242,0.7077,3710.4405
repoeval_function,body,C4_cascade,0.15,6.5934,0.1275,0.4867,0.5985,0.0088,0.6835,3923.3399
repoeval_function,body,C3_card,0.2,3.0769,0.1055,0.4704,0.5865,0.0264,0.7099,3718.5833
repoeval_function,body,C4_cascade,0.2,6.8132,0.1275,0.4873,0.5991,0.011,0.6857,3931.4827
repoeval_function,body,C3_card,0.25,5.4945,0.1231,0.4849,0.5979,0.0264,0.6923,3831.9898
repoeval_function,body,C4_cascade,0.25,9.011,0.1429,0.5006,0.6098,0.011,0.6703,4042.5004
repoeval_function,body,C3_card,0.3,53.8462,0.3626,0.6825,0.755,0.0198,0.4308,6308.5253
repoeval_function,body,C4_cascade,0.3,55.8242,0.3736,0.6904,0.7599,0.0132,0.4176,6424.8994
repoeval_function,body,C3_card,0.35,76.9231,0.5209,0.7933,0.8353,0.0154,0.2879,7387.335
repoeval_function,body,C4_cascade,0.35,77.8022,0.5253,0.7973,0.8387,0.0132,0.2813,7428.2947
repoeval_function,body,C3_card,0.4,90.3297,0.5846,0.8227,0.8551,0.0154,0.244,8056.0556
repoeval_function,body,C4_cascade,0.4,90.7692,0.5868,0.8244,0.8563,0.0154,0.2418,8076.9163
repoeval_function,body,C3_card,0.45,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.45,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.5,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.5,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.55,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.55,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.6,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.6,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.65,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.65,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.7,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.7,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.75,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.75,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.8,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.8,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.85,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.85,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.9,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.9,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C3_card,0.95,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,body,C4_cascade,0.95,100.0,0.6264,0.8385,0.865,0.0154,0.2264,8522.7163
repoeval_function,full,C1_no_retrieve,,0.0,0.0418,0.3298,0.4434,0.0176,0.8593,3606.5756
repoeval_function,full,C2_always_retrieve,,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,4916.1407
repoeval_function,full,C3_card,0.05,0.0,0.0418,0.3298,0.4434,0.0176,0.8593,3606.5756
repoeval_function,full,C4_cascade,0.05,2.6374,0.0462,0.3356,0.4503,0.0044,0.8549,3729.5368
repoeval_function,full,C3_card,0.1,1.978,0.0418,0.3348,0.4531,0.022,0.8791,3678.7267
repoeval_function,full,C4_cascade,0.1,4.6154,0.0462,0.3406,0.46,0.0088,0.8747,3801.6879
repoeval_function,full,C3_card,0.15,2.8571,0.0418,0.3384,0.4593,0.022,0.8879,3710.4405
repoeval_function,full,C4_cascade,0.15,5.4945,0.0462,0.3442,0.4662,0.0088,0.8835,3833.4017
repoeval_function,full,C3_card,0.2,3.0769,0.0418,0.3387,0.4597,0.0242,0.8901,3718.5833
repoeval_function,full,C4_cascade,0.2,5.7143,0.0462,0.3446,0.4667,0.011,0.8857,3841.5445
repoeval_function,full,C3_card,0.25,5.4945,0.044,0.341,0.4639,0.0286,0.8879,3831.9898
repoeval_function,full,C4_cascade,0.25,7.9121,0.0462,0.3455,0.4703,0.0154,0.8857,3952.5622
repoeval_function,full,C3_card,0.3,53.8462,0.0813,0.4197,0.5508,0.0352,0.8505,6308.5253
repoeval_function,full,C4_cascade,0.3,54.7253,0.0835,0.422,0.5532,0.0352,0.8484,6352.375
repoeval_function,full,C3_card,0.35,76.9231,0.1231,0.4592,0.5912,0.0462,0.8154,7387.335
repoeval_function,full,C4_cascade,0.35,77.3626,0.1253,0.461,0.5932,0.044,0.8132,7402.4601
repoeval_function,full,C3_card,0.4,90.3297,0.1165,0.4443,0.5784,0.0484,0.8484,8056.0556
repoeval_function,full,C4_cascade,0.4,90.5495,0.1187,0.4461,0.5801,0.0484,0.8462,8061.0802
repoeval_function,full,C3_card,0.45,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.45,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.5,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.5,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.55,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.55,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.6,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.6,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.65,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.65,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.7,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.7,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.75,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.75,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.8,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.8,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.85,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.85,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.9,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.9,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C3_card,0.95,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
repoeval_function,full,C4_cascade,0.95,100.0,0.1165,0.4442,0.5803,0.0505,0.8593,8522.7163
