dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
crosscodelongeval_chunk,line,C1_no_retrieve,,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C2_always_retrieve,,100.0,0.6667,0.8725,0.9444,0.0,0.0,478.7483
crosscodelongeval_chunk,line,C3_card,0.05,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C4_cascade,0.05,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C3_card,0.1,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C4_cascade,0.1,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C3_card,0.15,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C4_cascade,0.15,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C3_card,0.2,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C4_cascade,0.2,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C3_card,0.25,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C4_cascade,0.25,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C3_card,0.3,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C4_cascade,0.3,0.0,0.3333,0.8188,0.8333,0.0,0.3333,325.0943
crosscodelongeval_chunk,line,C3_card,0.35,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C4_cascade,0.35,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C3_card,0.4,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C4_cascade,0.4,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C3_card,0.45,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C4_cascade,0.45,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C3_card,0.5,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C4_cascade,0.5,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C3_card,0.55,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C4_cascade,0.55,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C3_card,0.6,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C4_cascade,0.6,33.3333,0.6667,0.8725,0.9444,0.0,0.0,390.815
crosscodelongeval_chunk,line,C3_card,0.65,66.6667,0.6667,0.8725,0.9444,0.0,0.0,555.9209
crosscodelongeval_chunk,line,C4_cascade,0.65,66.6667,0.6667,0.8725,0.9444,0.0,0.0,555.9209
crosscodelongeval_chunk,line,C3_card,0.7,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C4_cascade,0.7,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C3_card,0.75,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C4_cascade,0.75,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C3_card,0.8,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C4_cascade,0.8,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C3_card,0.85,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C4_cascade,0.85,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C3_card,0.9,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C4_cascade,0.9,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C3_card,0.95,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
crosscodelongeval_chunk,line,C4_cascade,0.95,100.0,0.6667,0.8725,0.9444,0.0,0.0,803.8425
