dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
crosscodeeval_py,line,C1_no_retrieve,,0.0,0.2938,0.6314,0.6025,0.0113,0.5816,200.214
crosscodeeval_py,line,C2_always_retrieve,,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,233.755
crosscodeeval_py,line,C3_card,0.05,0.0,0.2938,0.6314,0.6025,0.0113,0.5816,200.214
crosscodeeval_py,line,C4_cascade,0.05,1.2008,0.3051,0.6382,0.6098,0.0004,0.57,204.4062
crosscodeeval_py,line,C3_card,0.1,0.0,0.2938,0.6314,0.6025,0.0113,0.5816,200.214
crosscodeeval_py,line,C4_cascade,0.1,1.2008,0.3051,0.6382,0.6098,0.0004,0.57,204.4062
crosscodeeval_py,line,C3_card,0.15,0.0,0.2938,0.6314,0.6025,0.0113,0.5816,200.214
crosscodeeval_py,line,C4_cascade,0.15,1.2008,0.3051,0.6382,0.6098,0.0004,0.57,204.4062
crosscodeeval_py,line,C3_card,0.2,0.0,0.2938,0.6314,0.6025,0.0113,0.5816,200.214
crosscodeeval_py,line,C4_cascade,0.2,1.2008,0.3051,0.6382,0.6098,0.0004,0.57,204.4062
crosscodeeval_py,line,C3_card,0.25,0.0,0.2938,0.6314,0.6025,0.0113,0.5816,200.214
crosscodeeval_py,line,C4_cascade,0.25,1.2008,0.3051,0.6382,0.6098,0.0004,0.57,204.4062
crosscodeeval_py,line,C3_card,0.3,7.3546,0.3523,0.6692,0.6466,0.009,0.5261,212.5851
crosscodeeval_py,line,C4_cascade,0.3,8.3302,0.3614,0.6746,0.6522,0.0004,0.5167,216.235
crosscodeeval_py,line,C3_card,0.35,33.0582,0.5632,0.7922,0.7784,0.0068,0.3362,273.7842
crosscodeeval_py,line,C4_cascade,0.35,33.7711,0.5696,0.7961,0.7823,0.0004,0.3295,276.6411
crosscodeeval_py,line,C3_card,0.4,66.0413,0.7917,0.9049,0.8989,0.0023,0.1482,359.1309
crosscodeeval_py,line,C4_cascade,0.4,66.2664,0.7936,0.9059,0.8998,0.0004,0.1463,360.0499
crosscodeeval_py,line,C3_card,0.45,88.1426,0.8871,0.9468,0.9434,0.0011,0.0788,410.6041
crosscodeeval_py,line,C4_cascade,0.45,88.1426,0.8871,0.9468,0.9434,0.0011,0.0788,410.6041
crosscodeeval_py,line,C3_card,0.5,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.5,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C3_card,0.55,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.55,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C3_card,0.6,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.6,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C3_card,0.65,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.65,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C3_card,0.7,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.7,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C3_card,0.75,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.75,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C3_card,0.8,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.8,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C3_card,0.85,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.85,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C3_card,0.9,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.9,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C3_card,0.95,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
crosscodeeval_py,line,C4_cascade,0.95,100.0,0.9178,0.9605,0.9575,0.0011,0.0612,433.969
