dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
crosscodelongeval_function,body,C1_no_retrieve,,0.0,0.08,0.4684,0.6049,0.0344,0.8312,169.774
crosscodelongeval_function,body,C2_always_retrieve,,100.0,0.5736,0.8488,0.906,0.0354,0.6086,262.23
crosscodelongeval_function,body,C3_card,0.05,0.0,0.08,0.4684,0.6049,0.0344,0.8312,169.774
crosscodelongeval_function,body,C4_cascade,0.05,4.46,0.1042,0.4888,0.6219,0.0042,0.816,181.5042
crosscodelongeval_function,body,C3_card,0.1,0.0,0.08,0.4684,0.6049,0.0344,0.8312,169.774
crosscodelongeval_function,body,C4_cascade,0.1,4.46,0.1042,0.4888,0.6219,0.0042,0.816,181.5042
crosscodelongeval_function,body,C3_card,0.15,0.0,0.08,0.4684,0.6049,0.0344,0.8312,169.774
crosscodelongeval_function,body,C4_cascade,0.15,4.46,0.1042,0.4888,0.6219,0.0042,0.816,181.5042
crosscodelongeval_function,body,C3_card,0.2,0.0,0.08,0.4684,0.6049,0.0344,0.8312,169.774
crosscodelongeval_function,body,C4_cascade,0.2,4.46,0.1042,0.4888,0.6219,0.0042,0.816,181.5042
crosscodelongeval_function,body,C3_card,0.25,0.0,0.08,0.4684,0.6049,0.0344,0.8312,169.774
crosscodelongeval_function,body,C4_cascade,0.25,4.46,0.1042,0.4888,0.6219,0.0042,0.816,181.5042
crosscodelongeval_function,body,C3_card,0.3,0.56,0.0818,0.4717,0.6079,0.0348,0.8304,171.247
crosscodelongeval_function,body,C4_cascade,0.3,5.02,0.106,0.4921,0.6249,0.0046,0.8152,182.9772
crosscodelongeval_function,body,C3_card,0.35,11.52,0.1412,0.5271,0.6553,0.0344,0.7906,199.9878
crosscodelongeval_function,body,C4_cascade,0.35,15.28,0.1622,0.5443,0.6695,0.0076,0.7782,209.8958
crosscodelongeval_function,body,C3_card,0.4,44.72,0.3228,0.674,0.7723,0.0358,0.7038,287.2864
crosscodelongeval_function,body,C4_cascade,0.4,47.04,0.3354,0.684,0.7805,0.0194,0.696,293.395
crosscodelongeval_function,body,C3_card,0.45,81.84,0.4862,0.7849,0.8562,0.0358,0.642,384.3922
crosscodelongeval_function,body,C4_cascade,0.45,82.66,0.4904,0.7878,0.8588,0.0298,0.64,386.5731
crosscodelongeval_function,body,C3_card,0.5,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.5,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C3_card,0.55,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.55,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C3_card,0.6,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.6,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C3_card,0.65,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.65,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C3_card,0.7,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.7,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C3_card,0.75,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.75,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C3_card,0.8,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.8,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C3_card,0.85,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.85,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C3_card,0.9,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.9,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C3_card,0.95,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,body,C4_cascade,0.95,100.0,0.5736,0.8488,0.906,0.0354,0.6086,432.004
crosscodelongeval_function,full,C1_no_retrieve,,0.0,0.0564,0.3886,0.542,0.0344,0.8312,169.774
crosscodelongeval_function,full,C2_always_retrieve,,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,262.23
crosscodelongeval_function,full,C3_card,0.05,0.0,0.0564,0.3886,0.542,0.0344,0.8312,169.774
crosscodelongeval_function,full,C4_cascade,0.05,4.46,0.0682,0.3991,0.5521,0.0042,0.816,181.5042
crosscodelongeval_function,full,C3_card,0.1,0.0,0.0564,0.3886,0.542,0.0344,0.8312,169.774
crosscodelongeval_function,full,C4_cascade,0.1,4.46,0.0682,0.3991,0.5521,0.0042,0.816,181.5042
crosscodelongeval_function,full,C3_card,0.15,0.0,0.0564,0.3886,0.542,0.0344,0.8312,169.774
crosscodelongeval_function,full,C4_cascade,0.15,4.46,0.0682,0.3991,0.5521,0.0042,0.816,181.5042
crosscodelongeval_function,full,C3_card,0.2,0.0,0.0564,0.3886,0.542,0.0344,0.8312,169.774
crosscodelongeval_function,full,C4_cascade,0.2,4.46,0.0682,0.3991,0.5521,0.0042,0.816,181.5042
crosscodelongeval_function,full,C3_card,0.25,0.0,0.0564,0.3886,0.542,0.0344,0.8312,169.774
crosscodelongeval_function,full,C4_cascade,0.25,4.46,0.0682,0.3991,0.5521,0.0042,0.816,181.5042
crosscodelongeval_function,full,C3_card,0.3,0.56,0.0578,0.3915,0.5445,0.0348,0.8304,171.247
crosscodelongeval_function,full,C4_cascade,0.3,5.02,0.0696,0.4019,0.5547,0.0046,0.8152,182.9772
crosscodelongeval_function,full,C3_card,0.35,11.52,0.089,0.4201,0.5739,0.0344,0.7906,199.9878
crosscodelongeval_function,full,C4_cascade,0.35,15.28,0.099,0.4289,0.5823,0.0076,0.7782,209.8958
crosscodelongeval_function,full,C3_card,0.4,44.72,0.1756,0.4835,0.6332,0.0358,0.7038,287.2864
crosscodelongeval_function,full,C4_cascade,0.4,47.04,0.1816,0.4889,0.6384,0.0194,0.696,293.395
crosscodelongeval_function,full,C3_card,0.45,81.84,0.2442,0.5224,0.6705,0.0358,0.642,384.3922
crosscodelongeval_function,full,C4_cascade,0.45,82.66,0.2456,0.5241,0.6722,0.0298,0.64,386.5731
crosscodelongeval_function,full,C3_card,0.5,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
crosscodelongeval_function,full,C4_cascade,0.5,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
crosscodelongeval_function,full,C3_card,0.55,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
crosscodelongeval_function,full,C4_cascade,0.55,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
crosscodelongeval_function,full,C3_card,0.6,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
crosscodelongeval_function,full,C4_cascade,0.6,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
crosscodelongeval_function,full,C3_card,0.65,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
crosscodelongeval_function,full,C4_cascade,0.65,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
crosscodelongeval_function,full,C3_card,0.7,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
crosscodelongeval_function,full,C4_cascade,0.7,100.0,0.2746,0.5536,0.7003,0.0354,0.6086,432.004
