dataset,scoring,config,t_rag,retrieval_pct,exact_match,edit_similarity,identifier_f1,hall_A4B2,hall_A4,latency_ms
repoeval_function,body,C1_no_retrieve,,0.0,0.0549,0.4307,0.5846,0.0703,0.7297,1106.2397
repoeval_function,body,C2_always_retrieve,,100.0,0.6242,0.8875,0.9328,0.0176,0.156,1398.7727
repoeval_function,body,C3_card,0.05,0.0,0.0549,0.4307,0.5846,0.0703,0.7297,1106.2397
repoeval_function,body,C4_cascade,0.05,7.9121,0.0901,0.4659,0.6139,0.0044,0.6637,1249.6224
repoeval_function,body,C3_card,0.1,0.0,0.0549,0.4307,0.5846,0.0703,0.7297,1106.2397
repoeval_function,body,C4_cascade,0.1,7.9121,0.0901,0.4659,0.6139,0.0044,0.6637,1249.6224
repoeval_function,body,C3_card,0.15,0.0,0.0549,0.4307,0.5846,0.0703,0.7297,1106.2397
repoeval_function,body,C4_cascade,0.15,7.9121,0.0901,0.4659,0.6139,0.0044,0.6637,1249.6224
repoeval_function,body,C3_card,0.2,0.0,0.0549,0.4307,0.5846,0.0703,0.7297,1106.2397
repoeval_function,body,C4_cascade,0.2,7.9121,0.0901,0.4659,0.6139,0.0044,0.6637,1249.6224
repoeval_function,body,C3_card,0.25,0.0,0.0549,0.4307,0.5846,0.0703,0.7297,1106.2397
repoeval_function,body,C4_cascade,0.25,7.9121,0.0901,0.4659,0.6139,0.0044,0.6637,1249.6224
repoeval_function,body,C3_card,0.3,0.2198,0.0549,0.4316,0.5854,0.0703,0.7297,1110.6508
repoeval_function,body,C4_cascade,0.3,8.1319,0.0901,0.4667,0.6148,0.0044,0.6637,1254.0335
repoeval_function,body,C3_card,0.35,12.7473,0.1451,0.5017,0.637,0.0637,0.6396,1252.7155
repoeval_function,body,C4_cascade,0.35,20.0,0.178,0.5327,0.6627,0.0044,0.5802,1388.1063
repoeval_function,body,C3_card,0.4,57.1429,0.4242,0.7391,0.8165,0.0352,0.3495,1885.6341
repoeval_function,body,C4_cascade,0.4,59.7802,0.4308,0.7489,0.8254,0.0154,0.3297,1944.2728
repoeval_function,body,C3_card,0.45,88.3516,0.5714,0.8459,0.9006,0.0198,0.2066,2320.0902
repoeval_function,body,C4_cascade,0.45,89.011,0.5736,0.8471,0.9018,0.0176,0.2022,2331.5419
repoeval_function,body,C3_card,0.5,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.5,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C3_card,0.55,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.55,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C3_card,0.6,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.6,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C3_card,0.65,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.65,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C3_card,0.7,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.7,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C3_card,0.75,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.75,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C3_card,0.8,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.8,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C3_card,0.85,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.85,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C3_card,0.9,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.9,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C3_card,0.95,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,body,C4_cascade,0.95,100.0,0.6242,0.8875,0.9328,0.0176,0.156,2505.0124
repoeval_function,full,C1_no_retrieve,,0.0,0.0418,0.3739,0.5154,0.0527,0.8154,1106.2397
repoeval_function,full,C2_always_retrieve,,100.0,0.3385,0.6146,0.7264,0.0549,0.5582,1398.7727
repoeval_function,full,C3_card,0.05,0.0,0.0418,0.3739,0.5154,0.0527,0.8154,1106.2397
repoeval_function,full,C4_cascade,0.05,6.1538,0.0549,0.3836,0.5259,0.0,0.7956,1220.4176
